"Address","PostCode","Price","PropertyType"
"2 LEIX RD, CABRA, ","D7",30000,"SecondHand Property"
"2 WOODALE VIEW, BALLYCULLEN, FIRHOUSE 4","D24",30000,"SecondHand Property"
"APT 50, EARLSFIELD COURT, FRANCIS ST ","D8",15000,"SecondHand Property"
"3 Somerton Copse, Lucan","CoDublin",290750,"NewProperty"
"31 ALL SAINTS PARK, RAHENY, ","D5",460000,"SecondHand Property"
"40 THE COURTYARD, CLONSILLA, 5","D15",221500,"SecondHand Property"
"407 CASEMENT RD, FINGLAS WEST, 1","D11",265000,"SecondHand Property"
"CRIMAND, ESKER LANE, BALLYDOWD","CoDublin",535000,"SecondHand Property"
"1 Ardilaun Court, Sybil Hill Road, Raheny","D5",414097,"NewProperty"
"15 ALMA RD, MONKSTOWN","CoDublin",2500000,"SecondHand Property"
"2 Rahillion Park, Donabate","CoDublin",383259,"NewProperty"
"22 Rathbourne Square, Ashtown, 5","D15",335000,"NewProperty"
"22 Somerton Copse, Lucan","CoDublin",308369.81,"NewProperty"
"23 ASHFORD ST, ","D7",283000,"SecondHand Property"
"23 LATCHFORD GREEN, CASTAHEANY, 5","D15",285000,"SecondHand Property"
"23 SARSFIELD PARK, LUCAN","CoDublin",327000,"SecondHand Property"
"26 MILLERS AVENUE, MILLERS GLEN, SWORDS","CoDublin",293111,"NewProperty"
"36 GEORGIAN HAMLET, BALDOYLE, 3","D13",340000,"SecondHand Property"
"37 EARLSFORT AVE, LUCAN","CoDublin",276000,"SecondHand Property"
"44 Beechwood Gate, Beechwood, Hansfield","D15",318722.47,"NewProperty"
"51 CEDAR SQ, THE CEDARS, RIDGEWOOD","CoDublin",279000,"SecondHand Property"
"62 SOUTHGATE APTS, CORK ST, ","D8",225000,"SecondHand Property"
"69 CARLINGFORD RD, DRUMCONDRA, ","D9",470000,"SecondHand Property"
"Apartment 1, 17 The Meadow, Robswall","CoDublin",346667,"NewProperty"
"1 THE BRIDGE, MAIN ST, SHANKILL 8","D18",285000,"SecondHand Property"
"11 CORRYBEG, TEMPLEOGUE BRIDGE, W","CoDublin",1325000,"SecondHand Property"
"125 GLASNEVIN AVE, 1","D11",425000,"SecondHand Property"
"13 INGLEWOOD CLOSE, CLONSILLA, 5","D15",2e+05,"SecondHand Property"
"14 Millers Avenue, Millers Glen, Swords","CoDublin",306309,"NewProperty"
"14 waterside green, waterside, swords road","CoDublin",308282,"NewProperty"
"15 GLENAMUCK COTTAGES, CARRICKMINES, 8","D18",440000,"SecondHand Property"
"169 CROSBIES YARD, OSSORY RD, EAST WALL ","D3",302000,"SecondHand Property"
"17 Fairway Drive, Cualanor, Upper Glenageary Road","CoDublin",713656,"NewProperty"
"17 TALBOT RD, MALAHIDE","CoDublin",480000,"SecondHand Property"
"18 BROWNSBARN ORCHARD, KINGSWOOD CROSS, CITYWEST 2","D22",310000,"SecondHand Property"
"18 Somerton Copse, Newcastle Road, Lucan","CoDublin",308370,"NewProperty"
"23 Diswellstown Court, Castleknock","CoDublin",436123,"NewProperty"
"27 CARDY ROCK AVE, CARDY ROCK, BALBRIGGAN","CoDublin",235000,"SecondHand Property"
"27 Parkside Gardens, Balgriffin, 3","CoDublin",251100,"NewProperty"
"33 Royal Canal Avenue, Royal Canal Park, Rathoath Road","CoDublin",475770.92,"NewProperty"
"36 SELSKAR AVENUE, SKERRIES, ","CoDublin",5e+05,"SecondHand Property"
"36 WILLOW COURT, CLONDALKIN","D22",290000,"SecondHand Property"
"36, 109 PARNELL ST, ","D1",215000,"SecondHand Property"
"39 LAMBOURN AVE, CLONSILLA, 5","D15",365000,"SecondHand Property"
"39 WOOD DALE CRESCENT, BALLYCULLEN, 4","D24",445000,"SecondHand Property"
"49 MEADOW VALE, BLACKROCK","CoDublin",176184,"SecondHand Property"
"5 BARNWELL CLOSE, ONGAR, 5","D15",320000,"SecondHand Property"
"51 VERDEMONT, SNUGBOROUGH RD, BLANCHARDSTOWN 5","D15",216000,"SecondHand Property"
"56 THE GROVE, HUNTERS RUN, CLONEE 5","D15",377500,"SecondHand Property"
"7 LATCHFORD GREEN, CASTAHEANEY, 5","D15",308000,"SecondHand Property"
"7 RIVERSDALE RD, CLONDALKIN 2","D22",270000,"SecondHand Property"
"74 FITZWILLIAM POINT, FITZWILLIAM QUAY, RINGSEND ","D4",351000,"SecondHand Property"
"9 ANNADALE AVE, FAIRVIEW, ","D3",330000,"SecondHand Property"
"EDENDALE, CLOUGHRAN, ","CoDublin",4e+05,"SecondHand Property"
"2 CARRIGMORE OAK, CITYWEST, SAGGART","D24",310000,"SecondHand Property"
"10 THE CASINO RD, MALAHIDE","CoDublin",355000,"SecondHand Property"
"103 MARLAY VIEW, BALLINTEER AVE, 6","D16",340000,"SecondHand Property"
"12 HERBERT COTTAGES, BALLSBRIDGE, ","D4",463500,"SecondHand Property"
"13 DUN SAITHNE VIEW, FLEMINGTON LANE, BALBRIGGAN","CoDublin",160000,"SecondHand Property"
"146 MERIDIAN COURT, ROYAL CANAL PARK, RATOATH RD 5","D7",325000,"SecondHand Property"
"15 CEOL NA MARA, RUSH","CoDublin",196000,"SecondHand Property"
"173 CORRIB RD, TERENURE, W","CoDublin",495000,"SecondHand Property"
"18  Beechwood Heath, Beechwood, Hansfioeld","CoDublin",321585,"NewProperty"
"23 Beechwood Heath, Beechwood, Hansfield","D15",317181,"NewProperty"
"23 THE KILNS, STATION RD, PORTMARNOCK","D13",243000,"SecondHand Property"
"38 Larkfield Heath, Clayfarm, Leopardstown","CoDublin",515418,"NewProperty"
"4 Dodderbrook Glade, Dodderbrook, Old Court Road","CoDublin",405286.34,"NewProperty"
"40 GERALDSTOWN WOODS, SANTRY, ","D9",2e+05,"SecondHand Property"
"43 ELDERWOOD ROAD, PALMERSTOWN, 0","D20",320000,"SecondHand Property"
"45 ELY VIEW, OLD COURT, TALLAGHT 4","D24",332500,"SecondHand Property"
"55 DRUMFIN ROAD, BALLYFERMOT, 0","D10",250000,"SecondHand Property"
"56 DEERHAVEN AVE, CLONEE, 5","D15",310000,"SecondHand Property"
"57 DEAN SWIFT RD, GLASNEVIN, 1","D11",360000,"SecondHand Property"
"7 MOUNT ROCHFORD AVE, FLEMINGTON LANE, BALBRIGGAN","CoDublin",246000,"SecondHand Property"
"88 FOXFIELD RD, RAHENY, ","D5",577500,"SecondHand Property"
"9 EDEN PARK RD, GOATSTOWN, 4","D14",670000,"SecondHand Property"
"GLENROSS, KELLYSTOWN ROAD, SANDYFORD","CoDublin",245000,"SecondHand Property"
"LISHEEN, DUNDRUM RD, DUNDRUM 4","D14",485000,"SecondHand Property"
"11 HOLYWELL HEIGHTS, SWORDS","CoDublin",264500,"SecondHand Property"
